"label","title","discountPrice","soldQuantity","quantity","brand","series","totalRating","features","color","Năm ra mắt","Xuất xứ","Loại card đồ họa","Loại CPU","Dung lượng RAM","Loại RAM","Mô tả ram","Ổ cứng","Dung lượng ổ cứng","Tần số quét","Chất liệu tấm nền","Kích thước màn hình","Công nghệ màn hình","Độ phân giải màn hình","Công nghệ âm thanh","Chất liệu","Kích thước","Trọng lượng","Tính năng đặc biệt","Loại đèn bàn phím","Bảo mật","Webcam","Hệ điều hành","Pin","Wi-Fi","Bluetooth","Cổng giao tiếp"
"Gaming","Laptop Lenovo Yoga Pro 7 14IRH8 82Y70050VN",19000000,3,66,"lenovo","yoga","1.8","Sở hữu con chip I7-13700H giúp đáp ứng tốt các tác vụ văn phòng cùng chơi game Trang bị RAM 16GB cùng ổ cứng SSD 512 giúp laptop vừa có không gian lưu trữ lớn nhưng vẫn chạy mượt Màn hình 14.5 inch trang bị nhiều công nghệ như chống chói, bảo vệ mắt, Dolby Vision giúp bạn thỏa thích chơi game nhưng vẫn bảo vệ được đôi mắt Laptop có thiết kế sang trọng, trọng lượng chỉ 1.49 kg, thích hợp mang theo bên người nhưng không mỏi lưng","Xanh dương","2024","Đài Loan","NVIDIA GeForce RTX 4050 6GB GDDR6","Intel Core i7-13700H 2.4 GHz (Up to 5.0 GHz, 16 lõi / 20 luồng, 24 MB Cache)","16GB","DDR5-5200 Onboard","16GB DDR5-5200 Onboard","512GB PCIe SSDCó thể tháo ra nâng cấp tối đa 1TB","512GB","120Hz","Tấm nền IPS","14.5 inches","Công nghệ Dolby Vision Công nghệ an toàn cho mắt Độ sáng tối đa 400nits Độ phủ màu 100% DCI-P3 Màn hình chống chói","3072 x 1920 pixels","","","325.5 x 226.49 x 15.6 mm","1.49 kg","Wi-Fi 6","Backlit","","FHD 1080p với màn trập cameraToF Senso","Windows 11 Home","73Wh","Wi-Fi 6E 11ax (2x2)","Bluetooth 5.1","1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 2 1x Thunderbolt 4 / USB4 40Gbps 1x HDMI 1x Jack cắm tai nghe"
"Sinh viên","Laptop ASUS Zenbook 14 OLED UM3402YA-KM405W",20000000,19,30,"asus","zenbook","1.2","CPU AMD Ryzen 5 7530U xử lý nhanh chóng mọi tác vụ học tập, văn phòng. Màn hình 14 inch OLED 2.8K cho màu sắc hiển thị rực rỡ, chân thực cùng công nghệ lọc ánh sáng xanh lên đến 70%. Đồ họa AMD Radeon Graphics dễ dàng chỉnh sửa hình ảnh cơ bản hay chơi các tựa game nhẹ. Bộ nhớ RAM 16GB LPDDR4X chạy nhiều ứng dụng cùng lúc mà không lo lag giật. Ổ cứng SSD 512GB cho tốc độc truy cập dữ liệu nhanh chóng. Lớp vỏ được làm từ kim loại cao cấp, khối lượng gọn nhẹ chỉ 1.39 kg.","Đen","2022","Nhật Bản","AMD Radeon Graphics","AMD Ryzen 5 7530U (2.0GHz, 6 lõi / 12 luồng, 16MB cache, up to 4.5 GHz max boost)","16GB","LPDDR4X Onboard","16GB LPDDR4X Onboard","512GB M.2 NVMe PCIe 3.0 SSD","512GB","90 Hz","Tấm nền Oled","14 inches","Thời gian phản hồi 0.2ms  Độ sáng tối đa  400 nit HDR Độ phủ màu 100% DCI-P3 Display HDR True Black 600 1 tỉ màu PANTONE Validated Glossy display Giảm ánh sáng xanh 70% SGS Eye Care Display","2880 x 1800 pixels","Công nghệ khuếch đại thông minhLoa tích hợpMicrô mảng tích hợpHarman/kardon (Premium)","Vỏ kim loại","31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D)","1.35 kg","Wi-Fi 6, Bảo mật vân tay, Màn hình Oled","Bàn phím có đèn nền","Cảm biến vân tay tích hợp với Power Key McAfee LiveSafe Mô-đun nền tảng đáng tin cậy (TPM)","1080p FHD camera","Windows 11 Home","75WHrs, 2S2P, 4-cell Li-ion","Wi-Fi 6E(802.11ax) (Dual band) 2*2","Bluetooth® 5","1x USB 3.2 Gen 2 Type-A2x USB 3.2 Gen 2 Type-C (Hỗ trợ hiển thị / sạc)1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackĐầu đọc thẻ Micro SD"
"Sinh viên","Laptop ASUS E210KA-GJ073W",18000000,47,17,"asus","e210ka-gj073w","2.1","Sở hữu thiết kế cực nhỏ gọn và mỏng nhẹ với trọng lượng chỉ 1.05 kg Bộ vi xử lý Intel Celeron N4500 hỗ trợ làm việc nhanh chóng trên các ứng dụng văn phòng 4GB RAM cùng 128GB bộ nhớ trong eMMC cực nhanh hỗ trợ lưu trữ đủ dùng Màn hình 11.6 inch cùng độ phân giải HD đáp ứng nhu cầu làm việc, giải trí Máy trang bị đầy đủ cổng kết nối, hỗ trợ truyền tải dữ liệu nhanh chóng","Xanh","2024","Singapore","Intel UHD Graphics","Intel Celeron N4500 1.1 GHz (4M Cache, up to 2.8 GHz, 2 lõi)","4GB","DDR4 Onboard","4GB DDR4 Onboard","128 GB eMMC","128GB","60Hz","","11.6 inches","Độ sáng 200nits Độ phủ màu 45% NTSC  Màn hình chống chói, 16:9","1366 x 768 pixels","SonicMaster Loa tích hợp Micro tích hợp sẵn","Vỏ nhựa","27.90 x 19.10 x 1.69 ~ 1.69 cm (W x H x D)","1.05 kg","","","BIOS Booting bảo vệ mật khẩu người dùng Mô-đun nền tảng đáng tin cậy (Firmware TPM) BIOS setup user password","VGA camera","Windows 11 Home","38WHrs, 2S1P, 2-cell Li-ion","Wi-Fi 5 (802.11ac) (Dual band) 2*2","Bluetooth 4.2","1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in"
"Văn phòng","Laptop Lenovo Yoga Slim 7 14IMH9 83CV001UVN",28990000,58,53,"lenovo","yoga","3.7","Trang bị vi xử lý Intel Core U7-155H đặc biệt mạnh mẽ, cùng với 32GB RAM, đảm bảo hiệu suất cao cung cấp tốc độ xử lý nhạy bén và đa nhiệm mượt mà Ổ cứng SSD PCIe 512GB cung cấp không gian lưu trữ lớn và tốc độ truy cập dữ liệu nhanh chóng Màn hình WUXGA 14 inch cho hình ảnh sắc nét, trung thực, mang đến trải nghiệm xem phim, lướt web tuyệt vời Thiết kế mỏng nhẹ và hoàn thiện cùng màu xám sang trọng, máy nổi bật không chỉ vì sự tiện lợi mà còn vì phong cách sống hiện đại","Xám","2024","Trung Quốc","Intel Arc Graphics","Intel Core Ultra 7 155H (16 lõi (6P + 8E + 2LPE) / 22 luồng, Max Turbo up to 4.8GHz, 24MB)","32GB","LPDDR5x-7467 Onboard","32GB LPDDR5x-7467 Onboard","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ nâng cấp lên đến 1TB M.2 2242 SSD)","512GB","60 Hz","Tấm nền Oled","14 inches","Độ sáng 400nits  Độ phủ màu 100% DCI-P3 Eyesafe Dolby Vision DisplayHDR True Black 500","1920 x 1200 pixels (WUXGA)","Loa âm thanh nổi, 2W x4 Dolby Atmos Amplifier (AMP) Âm thanh độ phân giải cao (HD) Realtek ALC3306 codec","Vỏ kim loại","312 x 221 x 14.9 mm (W x D x H)","1.39 kg","Wi-Fi 6, Nhận diện khuôn mặt, Màn hình Oled","","Firmware TPM 2.0","FHD 1080p + IR với màn trập E-shutter, ToF Sensor","Windows 11 Home Single LanguageOffice Home & Student 2021 (Được cài đặt sẵn trong máy)","65Wh","Wi-Fi 6E, 11ax 2x2","Bluetooth 5.3","1x USB-A (USB 5Gbps / USB 3.2 Gen 1) luôn bật 2x USB-C (Thunderbolt 4 / USB4 40Gbps), với USB PD 3.1 và DisplayPort 1.4 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack (3.5mm)"
"Văn phòng","Laptop Lenovo Ideapad Slim 5 16IAH8 83BG004EVN",25000000,7,30,"lenovo","ideapad","5.0","Màn hình 16 inch WUXGA màn hình rộng, đem lại chất lượng màu ổn định CPU Intel Core i5-12450H xử lý nhanh gọn các tác vụ văn phòng RAM 16 GB thoải mái chạy các tác vụ học tập, văn phòng Ổ cứng 1TB cho không gian lưu trữ rộng rãi, lưu mọi file, tài liệu dễ dàng Laptop có cổng HDMI 1.4 và khe cắm thẻ nhớ microSD hữu ích cho những người làm sáng tạo video, hình ảnh","Xám","2024","Trung Quốc","Intel UHD Graphics","Intel Core i5-12450H (8 lõi (4P + 4E) / 12 luồng, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB)","16GB","LPDDR5-4800 Onboard","16GB LPDDR5-4800 Onboard","1TB SSD M.2 2242 PCIe 4.0x4 NVMe","1TB","","Tấm nền IPS","16 inches","Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 45% NTSCTÜV Low Blue Light","1920 x 1200 pixels (WUXGA)","High Definition (HD) AudioLoa âm thanh nổi, 2W x2Dolby Audio","Vỏ kim loại","356 x 251 x 17.9 mm (W x D x H)","1.89 kg","Wi-Fi 6","","Firmware TPM 2.0","FHD 1080p với màn trập camera","Windows 11 Home Single Language","56.6Wh","Wi-Fi 6, 11ax 2x2","Bluetooth 5.1","1x HDMI 1.4b1x Headphone / microphone combo jack (3.5mm)1x USB 3.2 Gen 11x USB 3.2 Gen 1 (Always On)1x Đầu đọc thẻ microSD2x USB-C 3.2 Gen 1 (Truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)"
"Gaming","Laptop MSI Gaming GF63 12UCX-841VN",14000000,66,64,"msi","gf63",0,"Dễ dàng chơi tựa game phổ biến hay chỉnh sửa, thiết kế 2D, 3D cơ bản nhờ chip Intel Core i5 12450H cùng card đồ họa RTX 2050 4 GB RAM 8 GB giúp chiến game, thao tác hay xử lý các công việc không bị giật lag hay gián đoạn Ổ cứng SSD 512 GB cho phép bạn truy xuất hay khởi động phần mềm, game nhanh chóng Màn hình 15.6 inch Full HD cùng tấm nền IPS cho khả năng tái tạo màu sắc tốt, sắc nét, rõ ràng Tần số quét cao 144 Hz cũng sẽ giúp hạn chế hình trạng xé hình, trễ ảnh khi chơi game hay video có tốc độ chuyển cảnh nhanh","Đen","2023","Hàn Quốc","NVIDIA GeForce RTX 2050 4GB GDDR6","Intel Core i5-12450H (2.0 GHz - 4.4 GHz, 12MB, 8 nhân / 12 luồng)","8GB","DDR4 3200MHz","8GB DDR4 3200MHz 1 khe trống ( nâng cấp tối đa 64GB)","512GB SSD M.2 NVMe","512GB","144 Hz","Tấm nền IPS","15.6 inches","","1920 x 1080 pixels (FullHD)","Nahimic, HiRes Audio","","359 x 254 x 21.5 mm","1.85 kg","Wi-Fi 6","LED","","HD webcam","Windows 11 Home","3 cell 52.4 Wh","WiFi 802.11ax (Wifi 6)","Bluetooth 5.2","1x HDMI1x USB Type C / DisplayPort / Power Delivery3 x USB 3.2 1x Audio combo1x LAN 1 Gb/s"
"Văn phòng","Laptop MSI Modern 15 A11MU-1022VN",19000000,64,30,"msi","modern","1.2","Màn hình 15.6 inch Full HD sắc nét, độ tương phản cao cho chất lượng hình ảnh sắc nét CPU Intel Core i5 1155G7 cho hiệu năng ổn định, tiết kiệm điện năng GPU Intel Iris Xe giúp xử lý các công việc đồ họa như chỉnh sửa ảnh, video cơ bản RAM 8GB cùng ổ cứng 512GB SSD cho khả năng đa nhiệm cao, hỗ trợ mở máy, duyệt web mượt mà Trang bị đầy đủ cổng kết nối cần thiết như: USB-A, USB-C, đầu đọc thẻ microSD,HDMI,...","Xám","2022","Hàn Quốc","Intel Iris Xe Graphics","Intel Core i5 1155G7 (2.50 GHz, up to 4.50 GHz, 4 lõi / 8 luồng, 8 MB, 4 GT/s)","8GB","DDR4 3200 MHz","8GB DDR4 3200 MHz 2 khe (Nâng cấp tối đa 64 GB)","512 GB SSD 2280 M2. PCIe","512GB","60 Hz","Tấm nền IPS","15.6 inches","Độ sáng 300 nits  Độ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","HD Audio","Vỏ kim loại","356.8 x 233.7 x 16.9 mm","1.6 kg","Wi-Fi 6","LED","","HD 720p","Windows 11 Home","Lithium polymer 3 Cell","Wifi 802.11 ax","Bluetooth 5.1","1x Đầu đọc thẻ  1x DC-in jack 1x Jack 3.5 mm 1x Type C 1x USB 2.0 3x USB 3.0"
"Gaming","Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R7EN",12000000,26,17,"acer","nitro","2.0","Thiết kế hầm hố, phù hợp cho game thủ chuyên nghiệp và người dùng đam mê trải nghiệm game đỉnh cao. Bộ xử lý AMD Ryzen 7-8845HS mạnh mẽ, cho hiệu suất xử lý mượt mà, đáp ứng tốt nhu cầu chơi game ở mức cấu hình cao. RAM 16GB và ổ cứng SSD 512GB PCIe mang đến tốc độ xử lý nhanh chóng, khởi động máy và mở ứng dụng nhanh chóng. Card đồ họa NVIDIA GeForce RTX 3050 6GB cho khả năng xử lý đồ họa mạnh mẽ, mang đến trải nghiệm game mượt mà, hình ảnh đẹp mắt. Màn hình 16.0 inch WUXGA 165Hz sắc nét, tốc độ làm tươi cao, cho hình ảnh chuyển động mượt mà, không bị giật lag.","Đen","2023","Trung Quốc","NVIDIA GeForce RTX 3050 6GB GDDR6 VRAM","AMD Ryzen 7 8845HS (8 lõi, 16 luồng, 3.8 GHz, 5.1 GHz, 8 MB L2 cache, up to 16 MB L3 cache)","16GB","DDR5 5600 MT/s","16GB DDR5 5600 MT/s 2 khe (1x16GB, nâng cấp tối đa 64GB)","512GB PCIe NVMe SSD, 2 khe SSD (Up to 4TB PCIe Gen4 NVMe SSD)","512GB","165 Hz","Tấm nền IPS","16 inches","Độ sáng 300nitsĐộ phủ màu 100% sRGBAcer ComfyView Màn hình LCD TFT có đèn nền LED Góc nhìn rộng lên đến 170 độ","1920 x 1200 pixels (WUXGA)","DTS X:Ultra Audio Kết xuất âm thanh sống động qua tai nghe và loa trong DAC SNR cao Acer Purified Tương thích với Cortana bằng giọng nói Công nghệ Acer TrueHarmony","Vỏ nhựa","361.8 x 278.4 x 24.74 - 25.46 mm (W x D x H)","2.5 kg","Wi-Fi 6","Bàn phím có đèn nền màu hổ phách","Giải pháp TPM của MSFT Pluton Security Processor Firmware Người dùng BIOS bảo mật mật khẩu giám sát Khe khóa Kensington","720p HD video at 30 fps","Windows 11 Home Single Language","57Whr 4-cell Adapter: 135W AC adapter","Wi-Fi 6E Wireless LAN","Bluetooth 5.3","1x USB Type-C  2x USB Standard A  1x Cổng HDMI 2.1 hỗ trợ HDCP 1x Giắc cắm tai nghe/loa 3,5 mm, hỗ trợ tai nghe có micrô tích hợp 1x Cổng Ethernet (RJ-45) 1x Giắc cắm DC-in cho bộ đổi nguồn AC"
"Sinh viên","Laptop Dell Latitude E7470",14000000,56,60,"dell","latitude","1.5","Thiết kế thanh lịch với các góc bo nhẹ, mềm mại Màn hình 14 inch cùng độ phân giải Full HD cho hình ảnh chân thực, sắc nét CPU Intel Core i5-6300U cân mọi tác vụ văn phòng cho đến học tập RAM 8GB đa nhiệm hỗ trợ mở nhiều tab duyệt web cùng lúc Ổ cứng 256GB cho không gian lưu trữ đủ dùng khi sao lưu các file làm việc, dữ liệu học tập Hỗ trợ đa dạng cổng kết nối: HDMI, USB 3.0, Mini DisplayPort,...","Đen","2024","Nhật Bản","Intel HD Graphics 520","Intel Core i5-6300U (2.4GHz, up to 3 GHz, 3M Cache)","8GB","DDR4 2133MHz","8GB DDR4 2133MHz","256GB M.2 PCIe NVMe ổ đĩa thể rắn (M.2 SSD)","256GB","","","14 inches","","1920 x 1080 pixels (FullHD)","","","19.4 x 334.9 x 232 mm (Cao x Rộng x Sâu)","1.42kg","","Có","","HD Webcam","Windows 10 Pro","4 cell 52Whr","","","1x HDMI  1x Đầu đọc thẻ SD 4 trong 1 3x USB 3.0 1x Mini DisplayPort"
"Văn phòng","Laptop Dell Inspiron 16 5620 N6I7009W1",20000000,18,11,"dell","inspiron",0,"Cấu hình mạnh mẽ hàng đầu với Intel Core i7 Gen 12, không ngại các ứng dụng nặng nề. RAM 16GB cho khả năng đa nhiệm tuyệt vời; SSD dung lượng cao 512GB thoải mái lưu trữ.  Viền màn hình mỏng, kích thước 16 inch cùng tỉ lệ khung hình mới 16:10 giúp có thêm nhiều không gian hiển thị hơn nữa. Webcam Full HD sắc nét, hình ảnh của bạn sẽ luôn rõ ràng kể cả trong điều kiện thiếu sáng.  Thiết kế tinh tế, chất lượng hoàn thiện cao, có độ mỏng chỉ 17,95mm và trọng lượng 1,97kg.","Bạc","2021","Trung Quốc","Intel Iris Xe Graphics","Intel Core i7-1255U","16GB","DDR4 3200MHz","16GB DDR4 3200MHz 2 khe, Hỗ trợ tối đa 32GB","512GB M.2 PCIe NVMe","512GB","","Tấm nền WVA","16 inches","Tần số quét 60hz  Độ sáng 300 nits  100% sRGB","1920 x 1200 pixels (FullHD+)","2 loa  Realtek ALC3254-CG","Vỏ nhựa","356,7 x 251,9 x 17.95 mm","1.87 kg","Wi-Fi 6, Bảo mật vân tay","LED","Mở khóa vân tay","Trước RGB HD Camera","Windows 11","54 W, 3420 mAh","802.11 a/b/g/n/ac/ax","v5.2","1 HDMI 1.4  1 Jack 3.5 mm   1 USB 3.2 Gen 2   2 USB 3.2 Gen 1"
"Gaming","Laptop MSI Sword 16 HX B14VFKG-045VN",12000000,30,3,"msi","sword","4.7","Màn hình 16 inch QHD+, tấm nền IPS mang lại trải nghiệm hình ảnh sắc nét và chi tiết. Hiệu suất mạnh mẽ mang đến trải nghiệm tuyệt vời đảm bảo xử lý mọi tác vụ một cách mượt mà và nhanh chóng. Bàn phím có đèn nền RGB, bàn phím số tích hợp, mang lại trải nghiệm gõ phím tuyệt vời. Thiết kế này mang lại sự thoải mái cho người dùng khi mang theo máy ra ngoài.","Xám","2024","Nhật Bản","NVIDIA GeForce RTX 4060 8GB GDDR6 Intel UHD Graphics","Intel Core i7-14700HX (2.1 GHz - 5.5 GHz / 33MB / 20 nhân, 28 luồng )","16GB","DDR5 5600MHz","16GB DDR5 5600MHz  2 khe (1 khe 8GB DDR5 + 1 khe 8GB DDR5, hỗ trợ tối đa 96GB)","1TB SSD M.2 NVMe (2 x M.2 NVMe)","1TB","240 Hz","Tấm nền IPS","16 inches","","2560 x 1600 pixels (2K)","","","359 x 266.4 x 21.8 - 27.7 mm","2.3 kg","Wi-Fi 6","RGB","","HD webcam","Windows 11 Home SEA","4 cell 65 Wh, pin liền","WiFi 802.11ax (Wifi 6)","Bluetooth 5.2","1 x USB Type C / DisplayPort 3 x USB 3.2 Audio combo LAN 1 Gb/s 1 x HDMI"
"Văn phòng","Laptop ASUS ExpertBook B1 B1502CVA-NJ0175W",25000000,49,94,"asus","expertbook","4.9","Trang bị bộ vi xử lý Intel Core i5 1335U đảm bảo hiệu suất xuất sắc trong việc thực hiện nhiều loại tác vụ. Hỗ trợ 16GB RAM và SSD 512GB, cung cấp tốc độ và hiệu suất làm việc mượt mà. Màn hình 15.6 inch, độ phân giải Full HD, đem lại trải nghiệm xem phim, lướt web với hình ảnh rõ nét và chất lượng cao. Cấu trúc vỏ máy được thiết kế chắc chắn, mang lại vẻ đẹp sang trọng cùng độ bền cao.","Đen","2021","Đài Loan","Intel UHD Graphics","Intel Core i5-1335U (1.3 GHz, 12M Cache, up to 4.6 GHz, 10 lõi)","16GB","DDR4 Onboard","16GB DDR4 Onboard","512GB M.2 2280 NVMe PCIe 4.0 SSD","512GB","60 Hz","Tấm nền TN","15.6 inches","Độ sáng 250 nits  Độ phủ màu NTSC: 45% Màn hình chống chóiTỷ lệ tương phản 500:1Góc nhìn: 90/65 Thời gian phản hồi:  20/10 ms 16:9","1920 x 1080 pixels (FullHD)","Âm thanh Dirac Loa tích hợp Micrô mảng tích hợp","Vỏ nhựa","36.16 x 23.30 x 1.99 cm (W x H x D)","1.69 kg","Wi-Fi 6, Bảo mật vân tay","","Cảm biến vân tay tích hợp Touchpad Khe bảo mật Kensington Nano Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Máy tính đã sẵn sàng từ BIOS Bảo vệ và bảo mật mật khẩu người dùng HDD Mô-đun nền tảng đáng","720p HD với màn trập camera","Windows 11 Home","42WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6 (802.11ax) (Dual band) 2*2","Bluetooth 5.2","1x USB 2.0 Loại A 1x USB 3.2 Gen 1 Loại A 1x USB 3.2 Gen 1 Type-C 1x USB 3.2 Gen 2 Type-C h 1x HDMI 1.4 1x Giắc âm thanh 1x RJ45 Gigabit Ethernet"
"Văn phòng","Laptop HP ENVY X360 13-BF0092TU 76V59PA",18000000,35,62,"hp","envy","2.8","Sở hữu màn hình 13.3 inch với độ phân giải 2.8K cho phép hình ảnh hiển thị sắc nét, đẹp mắt CPU Intel Core I7-1250 hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ mà không lo giật lag RAM 8GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,... Thiết kế gọn nhẹ với trọng lượng chỉ đến 1.34 kg cho bạn dễ dàng mang theo bên mình","Xanh Đen","2024","Nhật Bản","Intel Iris Xe Graphics","Intel Core i7-1250U (12MB Cache, up to 4.7 GHz, 10 lõi / 12 luồng)","8GB","LPDDR4x 4266MHz","8GB LPDDR4x 4266MHz","512 GB PCIe Gen4 NVMe TLC M.2 SSD","512GB","","Tấm nền Oled","13.3 inches","Hỗ trợ cảm ứng đa điểmUWVAMàn hình tràn viềnMicro-edgeCorning Gorilla Glass NBTGiảm ánh sáng xanhSDR 400 nitsHDR 500 nitsĐộ phân giải 100% DCI-P3","2880 x 1800 pixels","","","29.83 x 21.49 x 1.61 cm","1.34 kg","Viền màn hình siêu mỏng, Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1), Màn hình Oled","","","Camera hồng ngoại HP True Vision 5MP có màn trập cameraGiảm nhiễu tạm thời và micrô kỹ thuật số mảng kép tích hợp","Windows 11 Home 64","66 Wh Li-ion, 4-cell","Wi-Fi 6E","Bluetooth 5.3","2 X Thunderbolt 42 X USB Type-A1 X Jack cắm tai nghe1 X Đầu SD"
"Gaming","Laptop HP Gaming Victus 15-FB1022AX 94F19PA",12000000,17,88,"hp","victus","3.3","Sở hữu màn hình 15.6 inch với lớp vỏ đen thời thượng CPU Intel Core R5-7535HS hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ mà không lo giật lag Card  RTX 2050 giúp giải quyết được khối lượng công việc nặng RAM 16GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,...","Bạc","2022","Trung Quốc","NVIDIA GeForce RTX 2050 4GB GDDR6","AMD Ryzen 5 7535HS (16MB Cache, up to 4.5 GHz, 6 lõi / 12 luồng)","16GB","DDR5 4800 MHz","16GB DDR5 4800 MHz 2 khe RAM","512 GB PCIe Gen4 NVMe TLC M.2 SSD","512GB","","Tấm nền IPS","15.6 inches","Micro-edgeChống chóiĐộ sáng tối đa 250 nitsĐộ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","","","35.79 x 25.5 x 2.35 cm","2.29 kg","Wi-Fi 6","","","","Windows 11 Home","52.5 Wh, 3 Cell","Wi-Fi 6","Bluetooth 5.3","1 X USB Type-C2 X USB Type-A1 X Pin thông minh AC1 X HDMI 2.11 X Jack cắm tai nghe"
"Văn phòng","Laptop HP Pavilion 15-EG2084TU 7C0Q6PA",18000000,51,55,"hp","pavilion",0,"Chip Intel Core I5-1240P, card đồ họa Intel Iris Xe Graphics thích hợp cho người dùng văn phòng tác vụ nặng như load các file báo cáo, excel hàng nghìn dòng RAM 8GB đa nhiệm cho mọi thao tác mượt mà, mở nhiều tab cùng lúc mà không lo lag, giật Kết nối không giới hạn, trò chuyện qua video call trên camera HP Wide Vision 720p HD Trọng lượng chỉ 1.75 kg có thể mang đi và di chuyển dễ dàng Máy đi kèm Windows 11 Home bản quyền","Vàng","2022","Đài Loan","Intel Iris Xe Graphics","Intel Core i5-1240P Processor","8GB","DDR4 3200MHz","8GB DDR4 3200MHz  2 khe","256GB SSD PCIe® NVMe™ M.2","256GB","","Tấm nền IPS","15.6 inches","IPS, Micro-edge, BrightView, 250nits, 45%NTSC","1920 x 1080 pixels (FullHD)","","","36.02 x 23.4 x 1.79 cm","1.75 kg","","","","HP Wide Vision 720p HD Camera","Windows 11 Home","3Cell 41WHrs","802.11ax (2x2)","v5.2","1 x HDMI 2.01 x headphone/microphone combo1 x Type-C tốc độ truyền dữ liệu 10Gbps2 x Type-A tốc độ truyền dữ liệu 5Gbps"
